username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match
TeXworks,texworks,0.6.9,exe,TUG.TeXworks,TeXworks-win10-setup-0.6.9-202402120657-git_68a2e99.exe,PatternMatchOnlyNum
SerialDesignatorN,suside,2.3.3,exe,zeankundev.suside,Suside_Installer_2.3.3_win.exe,PatternMatchOnlyNum
saxobroko,Ginger-Chrome,93.0.4529.0,exe,Saxo_Broko.GingerChrome,gingerinstall.exe,""
madisvain,upcount,0.8.3,exe,madisvain.upcount,Upcount-Setup-0.8.3.exe,PatternMatchOnlyNum
mullvad,mullvad-browser,13.0.10,exe,MullvadVPN.MullvadBrowser,mullvad-browser-windows-x86_64-portable-13.0.10.exe,PatternMatchOnlyNum
Wilfred,difftastic,0.55.0,zip,Wilfred.difftastic,difft-x86_64-pc-windows-msvc.zip,""
Vector000,bilive_electron,1.0.6,exe,Vector000.bilive_electron,Bilive_Electron-1.0.6-setup.exe,PatternMatchOnlyNum
brunurd,companion,1.5.9,exe,brunurd.companion,Companion.1.5.9.exe,PatternMatchOnlyNum
2dust,v2rayN,6.33,zip,2dust.v2rayN,v2rayN.zip,""
team-aie,app,0.17.2,exe,team-aie.aie,aie-setup-0.17.2.exe,PatternMatchOnlyNum
Shabinder,SpotiFlyer,3.6.3,msi,Shabinder.SpotiFlyer,SpotiFlyer-3.6.3.msi,PatternMatchOnlyNum
SHAREVOX,sharevox,0.2.1,zip,y-chan.SHAREVOX,sharevox-windows-directml-0.2.1.zip,PatternMatchOnlyNum
