Jellyfin,JellyfinMediaPlayer
DelineaInc,ThycoticApplicationControlAgent
Opera,Opera,Beta
BinaryFortress,WindowInspector
Graphcool,GraphQLPlayground
Mega,MEGASync
MattTytel,Helm
ES-DE,EmulationStation-DE
zumoshi,BrowserSelect
Microsoft,WindowsAppRuntime,1,0
PhilipGerke,Odassey
Huawei,DevEco
JakobDev,jdDesktopEntryEdit
Xanthus58,PortalStillAlive
AHS,TohokuKiritan
zufuliu,notepad2
SFTtech,openage
TonyPottier,ImageView
MarekJasinski,FreeCommanderXE
Microsoft,ReportBuilder
frippery,busybox-w32
GlenSawyer,MP3Gain
Lolle2000la,ImageSort
BellSoft,LibericaJDK,14,Full
BellSoft,LibericaJDK,11
Python,Python,3,0
Admobilize,admprovider
ahmetb,kubectx
ThomasJames,Tajpi
AfreetSoftware,HamVNA
PLACE,ONE
Embarcadero,Dev-C++
CrystalDewWorld,CrystalDiskInfo,KureiKeiEdition
kairoaraujo,tufie
Amazon,SendToKindle
Compuphase,Termite
Kingsoft,KDocs
KatKoyn,KatKoynCore
Microsoft,UI,Xaml,2,7
SartoxOnlyGNU,Audacium
NTKERNEL,WireSockVPNGateway
PolarGoose,ShowWhatProcessLocksFile
PlayStation,DualSenseFWUpdater
DEVCOM,Lua
netless-io,flat
IObit,IObitUnlocker
the-sz,Medford
JetBrains,Rider,EAP
OpenMedia,4KVideoToMP3
ngudbhav,lazyType
Kubernetes,kompose
infinitepower18,WSASystemControl
BellSoft,LibericaJRE,11,Full
JetBrains,CLion,EAP
ElstenSoftware,Astiga
RFSpace,SpectraVue
Lenovo,SystemUpdate
OISF,Suricata
Azul,ZuluFX,18,JDK
TechSmith,Snagit,2024
Microsoft,DownloadManager
Saurik,CydiaImpactor
1zilc,FishingFunds
erengy,Taiga
OpslyCloud,opsly-cli
MatsuriDayo,NekoRay
xanderfrangos,crushee
YouXiao,YXCalendar
CrystalIDEASoftware,UninstallTool
tp7,Sushi
Icarus,Verilog
Softerra,LDAPBrowser
Rustlang,Rustup
Google,Terraformer
SMLNJ,SMLNJ,Legacy
OBSProject,OBSStudio
printfn,fend
Ubisoft,Connect
VSDC,ScreenRecorder
Crunchyroll,MasterofGarden
YendisEntertainment,KrunkerClient
PDFLabs,PDFtk,Server
NordSecurity,NordLayer
KurtZimmermann,HDCleaner
AxisCommunicationsAB,FilePlayerLauncher
Belarc,Advisor
Microsoft,PowerShell
tschoonj,GTKForWindows
Corsair,iCUE,3
ApeCloud,kbcli
FreedomScientific,JAWS,2023
Wondershare,PDFReader,CN
TarakSharma,Nighthawk
EmptyFlow,ArdorQuery
Microsoft,err
GnuWin32,Zip
Ferdium,Ferdium,Nightly
t1m0thyj,WinDynamicDesktop
M2Team,NanaZip
Logitech,CameraSettings
NextSpace,FlowUs
PowTools,FileShredder
Speed-Soft,Time-Sync,Server
MongoDB,Compass,Community
Codemao,SmartEditor
EclipseAdoptium,Temurin,17,JDK
plogue,alterego
Tencent,TIM
YandereDev,YandereSimulator
Devolutions,RemoteDesktopManagerAgent
swiftyapp,swifty
QmmpDevelopmentTeam,qmmp
Elcomsoft,PhoneViewer
Microsoft,WindowsVirtualDesktopBootloader
DocumizeInc,Zerabase
MichaelBromley,SKQW
Solvusoft,WinThruster
mb21,panwriter
FookesHolding,NoteTabLight
Cisco,CiscoWebexMeetings
ChemAxon,instantjchem
sc0ty,SubSync
EdrawSoft,ViewerComponent,Word
Spice,SpiceWebDAVd
Elcomsoft,ArchivePassword
WorkdayInc,PlanningforExcel
LuaLS,lua-language-server
Spicebrains,Instant-Eyedropper
Gcndevelopment,GNURadio
MongoDB,Compass,Readonly
gerardog,gsudo
LSoftTechnologies,ActivePartitionRecovery
mspearpoint,Evacuationz
daltonmenezes,electron-screen-recorder
Posit,rig
WaveMetrics,IgorPro7
NovaTechnology,Beeper
Avanquestpdfforge,PDFCreator-Free
