Microsoft,VisualStudioCode
HHDSoftware,FreeHexEditorNeo
VisualParadigm,Community
tanshuai,alphabiz
Lakes,SCREENView
PPSSPPTeam,PPSSPP
SaferNetworking,RegAlyzer,1
Canonical,Ubuntu,2204
waterlan,dos2unix
Hashicorp,Packer
Microsoft,VCRedist,2013,x64
HakuNeko,HakuNeko,Nightly
GNU,MidnightCommander
Google,Talk
Microsoft,DotNet,UninstallTool
LuculentSystems,BluetoothBatteryMonitor
ManifoldSoftware,ManifoldViewer,9
Philips,HueSync
Xmind,Xmind,8
DJI,DJIAssistant2,ForPhantom
StartIsBack,StartAllBack
IBM,SemeruRuntimeOpenEdition,JDK,17
Instatus,Out
GNU,datamash
WhirlwindFX,SignalRgb
the-sz,Doro
XINGInc,AkasakiMinato
Oracle,MySQLWorkbench
MatterHackers,MatterControl
skyfloogle,gm8x_fix
BinaryMark,BatchFileEncrypt
TunesKit,AceMovi
mentebinaria,retoolkit
staniel359,muffon
netbsd,rawrite32
BinaryFortress,HashTools
JakobDev,jdMrpackInstaller
CXWorld,CapFrameX
TikzEdt,TikzEdtBeta
AdoptOpenJDK,OpenJDK,17
OrangeDrangon,AndroidMessages,Desktop
CleverFiles,DiskDrill
ReceitaFederaldoBrasil,IRPF2023
Amazon,SessionManagerPlugin
Nvidia,GeForceNow
NIOSH,ARMPS
Mirantis,Lens
Elcomsoft,PhoneViewer
Badlion,BadlionClient
EliWeitzman,ETT-Admin
Seewo,EasiClass
voidtools,Everything,Alpha
Tencent,TencentVideo
SmartSoft,SmartFTP
DJI,DJIAssistant2
GPBeta,SAOUtils,2
sirWest,AudioSwitch
scarvalhojr,aoc-cli
sharkdp,bat
MacPaw,Encrypto
Fougue,Mayo
Douyu,DouyuLive
LSoftTechnologies,ActiveDiskEditor
PeterPawlowski,foobar2000
ydkhatri,UnifiedLogReader
spluxx,Protoman
KhronosGroup,VulkanRT
LAIPIC,LaiHuaVideo
Elcomsoft,SQLPassword
RadiantCommunity,GtkRadiant
Alibaba,UCCloudDrive
Glodon,CADReader,CN
Line6,Line6Central
Japplis,Decoration
HiroshiFuu,onecopy
Jagex,Runescape
timche,gmail-desktop
ducaale,xh
Japplis,SheetViewer
SabakiHQ,Sabaki
Ryujinx,Ryujinx,Ava
OpenDesignAlliance,ODAFileConverter
den4b,ReNamer
Digimezzo,Dopamine,3
Yubico,YubiKeyPersonalizationTool
PLACE,IA,CS7
NirSoft,WifiInfoView
hatoo,oha
marha,VcXsrv
360,360File
XSplit,Broadcaster,PTR
LIGHTNINGUK,ImgBurn
Canonical,Ubuntu,1804
Seonglae,Intuiter
Shure,WirelessWorkbench
EclipseAdoptium,Temurin,18,JDK
Microsoft,Sysinternals,Handle
vvvv,gamma
JetBrains,TeamCity
RamenSoftware,Windhawk
Thewh1teagle,Serust
IvanG,Clipnest
Microsoft,BuildTools2015
Adamant,Messenger
JayPrall,ColorCop
krzys-h,UndertaleModTool
koalaman,shellcheck
PFOJEnterprisesLLC,ModernCSV
AsiasoftOnline,PlayparkDownloader
A-SIT,PDF-Over
Apple,iTunes
PicoTechnology,Picoscope
PrimateLabs,Geekbench,6
Questrade,IQEdge
Microsoft,AppInstallerFileBuilder
Digimezzo,Knowte
AntonyCourtney,Tad
tickstep,cloudpan189-go
GeekCorner,threema
ProtonTechnologies,ProtonVPN
MHNexus,HxD
arjun-g,google-meet-desktop
Firetrust,MailWasher,Free
RonyShapiro,PasswordSafe
CenSoft,HostTE
QMK,QMKToolbox
NitroSoftware,NitroPro
ojdkbuild,openjdk,11,jre
Treexy,DriverFusion
boy1dr,SpleeterGui
TeamProwlarr,Prowlarr
OpenTX,OpenTXCompanion
TopalaSoftwareSolutions,SIW
Tencent,EDULite
NordicSemiconductor,nrfutil
Wildy,bobonslaught
ntwind,VistaSwitcher
JinweiZhiguang,MasterAgent
Nvidia,CUDA
Dell,CommandConfigure
gnome,gitg
HDOS,HDOSLauncher
Codemao,TurtleEditor,2
RProject,Rtools
AfreetSoftware,HamVNA
LSoftTechnologies,ActiveDiskImage
eVenture,HideMe
Psenix,OverlayTimer
NOWTV,NOWTVPlayer
Libretro,RetroArch
Huawei,QuickAppPCAssistant
Splashtop,SplashtopStreamer
Veloren,Airshipper
Wondershare,PDFelement,6
Docker,DockerDesktopEdge
zeankundev,suside
kevinboss,port
Logitech,MyHarmony
Principle,Lusun
stnkl,EverythingToolbar
Microsoft,WindowsApplicationDriver
Microsoft,VCRedist,2015+,x86
SoftplanSistemas,WebSigner
Heaventools,ResourceTunerConsole
libjpeg-turbo,libjpeg-turbo,GCC
sum1re,CaptionOCRTool
Couchcoding,Logbert
FortyOneLtd,AudioSwitcher
StefanBerg,NINA
WisdomSoftware,MotionGIF
elves,elvish
WaveMetrics,IgorPro8
Japplis,Treecell
NirSoft,NetBScanner
CubeCodersLimited,AMPInstanceManager
brrd,abricotine
Blinue,Magpie
GitKraken,cli
SnapmakerDevTeam,SnapmakerLuban
Huawei,IdeaShareProject
Canonical,Ubuntu,2004
Microsoft,VisioViewer
AnyLogic,AnyLogic,Personal
ReincubateLtd,CamoStudio
the-sz,Banks
Splunk,UniversalForwarder
Zxilly,NotifyCli
JetBrains,DataGrip
ExodusMovement,Exodus
BarryCarlyon,BarryCarlyonExtensionTools
dustinblackman,oatmeal
Sky,SkyGo
Xanthus58,VanillaRenewed
UbiquitiInc,IdentityDesktop
LSoftTechnologies,ActiveDataStudio
fredserva,birdskitchen
steventhanna,proton
Microsoft,PowerShell
Shure,ShurePlusMOTIV
BinaryMark,BatchFileSplitJoin
Python,Python,3,7
SevenTV,Chatterino7
oldj,switchhosts
AshleyStone,SitdownMW
JetBrains,PyCharm,Community,EAP
Microsoft,PowerBI,DesktopReportServer
Spatie,Ray
CompuBench,GFXBench
Fenrirthviti,obs-virtual-cam
kerinlin,OrangePlayer
c3er,mdview
majsoulplus,majsoul-plus
SafingICSTechnologiesGmbH,Portmaster
OliverBetz,ExifTool
Seewo,EasiNote3C
GiulioSorrentino,numeronesoeminformations
Tetrate,wazero
VRChat,CreatorCompanion
Jsoftware,J,9,4,slim
IPEP,Scantailor-Experimental
Tencent,QQ
FutureScholars,Paperlib
OliverBetz,ExifTool,Development
MetaGeek,inSSIDer
blueedge,win11react
NirSoft,SoundVolumeView
Heliai,BlackThunder
Microsoft,Teams,ContinuousDeployment
z-------------,cpod
Japplis,AntCommander,Personal
SamuelAttard,GooglePlayMusicDesktopPlayer
QuadSpinner,Gaea
