number,title,user,created_at,updated_at,url
273749,New package: ne43.foks v0.1.1,maxtaco,2025-07-12T02:12:35Z,2025-07-12T03:25:09Z,https://github.com/microsoft/winget-pkgs/pull/273749
273745,Automatic update of RedisInsight.RedisInsight from 2.70.0 to 2.70.1,wingetbot,2025-07-12T01:54:30Z,2025-07-12T08:14:18Z,https://github.com/microsoft/winget-pkgs/pull/273745
273744,New package: Microsoft.HyperlapsePro version 1.6.116,DandelionSprout,2025-07-12T01:46:08Z,2025-07-12T02:52:21Z,https://github.com/microsoft/winget-pkgs/pull/273744
273741,Automatic Waiver Addition for PR 273665,wingetbot,2025-07-12T01:29:01Z,2025-07-12T01:31:14Z,https://github.com/microsoft/winget-pkgs/pull/273741
273733,New package: Microsoft.DataMigrationAssistant version 5.8.5973.1,DandelionSprout,2025-07-12T01:16:09Z,2025-07-12T02:38:20Z,https://github.com/microsoft/winget-pkgs/pull/273733
273731,New package: Microsoft.LingeringObjectLiquidator version 2.0.21,DandelionSprout,2025-07-12T01:02:11Z,2025-07-12T02:31:44Z,https://github.com/microsoft/winget-pkgs/pull/273731
273729,Automatic update of Google.PlayGames.Beta from 25.5.1307.0 to 140.0.7272.0,wingetbot,2025-07-12T00:50:41Z,2025-07-12T02:04:19Z,https://github.com/microsoft/winget-pkgs/pull/273729
273727,New package: Microsoft.FuzzyLookupAddExcel version 1.3.0.0,DandelionSprout,2025-07-12T00:27:41Z,2025-07-12T01:39:27Z,https://github.com/microsoft/winget-pkgs/pull/273727
273721,Automatic Waiver Addition for PR 273649,wingetbot,2025-07-12T00:10:03Z,2025-07-12T00:12:12Z,https://github.com/microsoft/winget-pkgs/pull/273721
273720,Automatic Waiver Addition for PR 273656,wingetbot,2025-07-12T00:09:58Z,2025-07-12T00:12:16Z,https://github.com/microsoft/winget-pkgs/pull/273720
273719,Automatic Waiver Addition for PR 273658,wingetbot,2025-07-12T00:09:51Z,2025-07-12T00:12:10Z,https://github.com/microsoft/winget-pkgs/pull/273719
273718,Automatic Waiver Addition for PR 273650,wingetbot,2025-07-12T00:09:45Z,2025-07-12T00:11:54Z,https://github.com/microsoft/winget-pkgs/pull/273718
273716,Automatic Waiver Addition for PR 273654,wingetbot,2025-07-12T00:09:32Z,2025-07-12T00:11:53Z,https://github.com/microsoft/winget-pkgs/pull/273716
273711,New version: PurpleI2P.i2pd version 2.57.0,vedantmgoyal9,2025-07-11T23:23:14Z,2025-07-11T23:37:37Z,https://github.com/microsoft/winget-pkgs/pull/273711
273690,Automatic update of IvanCharapanau.Harbor 0.3.18,wingetbot,2025-07-11T22:00:16Z,2025-07-12T07:43:02Z,https://github.com/microsoft/winget-pkgs/pull/273690
273688,New version: GaetanSencie.SimpleAnnualAccounting version 2.0.0.0,TejasMate,2025-07-11T21:43:11Z,2025-07-12T01:49:09Z,https://github.com/microsoft/winget-pkgs/pull/273688
273666,New version: skardyy.Rhiza version 1.1.0,TejasMate,2025-07-11T21:15:37Z,2025-07-12T01:51:13Z,https://github.com/microsoft/winget-pkgs/pull/273666
273655,New version: Maltego.Maltego version 4.9.3,Dvd-Znf,2025-07-11T20:39:42Z,2025-07-11T20:48:22Z,https://github.com/microsoft/winget-pkgs/pull/273655
273653,New version: MikeFarah.yq version 4.46.1,Dvd-Znf,2025-07-11T20:36:36Z,2025-07-11T21:43:56Z,https://github.com/microsoft/winget-pkgs/pull/273653
273519,New version: paolosalvatori.ServiceBusExplorer version 6.1.2,ErikMogensen,2025-07-11T16:24:03Z,2025-07-11T17:51:06Z,https://github.com/microsoft/winget-pkgs/pull/273519
273517,New package: fullstorydev.grpcurl version 1.9.3,Dragon1573,2025-07-11T16:19:02Z,2025-07-12T01:35:44Z,https://github.com/microsoft/winget-pkgs/pull/273517
273512,New version: nkdAgility.AzureDevOpsMigrationTools.Preview version 16.2.10-Preview.6,MrHinsh,2025-07-11T16:06:00Z,2025-07-11T17:30:54Z,https://github.com/microsoft/winget-pkgs/pull/273512
273510,Automatic update of PLaSK to 2025.06.07,macdems,2025-07-11T15:11:50Z,2025-07-12T14:19:05Z,https://github.com/microsoft/winget-pkgs/pull/273510
273483,LeoKlaus.HeadsetControl-GUI version 0.19.0,nicola02nb,2025-07-11T12:17:01Z,2025-07-12T07:54:24Z,https://github.com/microsoft/winget-pkgs/pull/273483
273464,New version: nkdAgility.AzureDevOpsMigrationTools.Preview version 16.2.10-Preview.5,MrHinsh,2025-07-11T10:45:44Z,2025-07-11T12:07:23Z,https://github.com/microsoft/winget-pkgs/pull/273464
273443,New version: Insco.PicGuard.Pro version 4.0.0.452,kjxbyz,2025-07-11T08:42:45Z,2025-07-11T11:59:12Z,https://github.com/microsoft/winget-pkgs/pull/273443
273393,New version: tibbo.ioninja version 5.8.0,vedantmgoyal9,2025-07-11T03:45:52Z,2025-07-12T02:04:56Z,https://github.com/microsoft/winget-pkgs/pull/273393
273305,Automatic update of codexu.NoteGen 0.19.3,wingetbot,2025-07-10T21:08:46Z,2025-07-11T19:19:02Z,https://github.com/microsoft/winget-pkgs/pull/273305
273300,New package: seeyebe.snub version 0.5.0,seeyebe,2025-07-10T20:31:05Z,2025-07-10T22:24:46Z,https://github.com/microsoft/winget-pkgs/pull/273300
273269,New version: EntropiQ.agent 2.0.1,emaadali,2025-07-10T17:44:36Z,2025-07-10T18:02:57Z,https://github.com/microsoft/winget-pkgs/pull/273269
273268,New version: charmbracelet.mods 1.8.1,charmcli,2025-07-10T17:39:56Z,2025-07-10T17:59:59Z,https://github.com/microsoft/winget-pkgs/pull/273268
273267,New version: EntropiQ.agent 2.0.0,emaadali,2025-07-10T17:20:16Z,2025-07-10T17:38:52Z,https://github.com/microsoft/winget-pkgs/pull/273267
273265,New version: MartiCliment.UniGetUI.Pre-Release version 3.2.1-beta4,marticliment,2025-07-10T17:18:11Z,2025-07-10T19:07:07Z,https://github.com/microsoft/winget-pkgs/pull/273265
273255,New version: Rakuten.Viber version 25.7.1.0,spectopo,2025-07-10T16:15:09Z,2025-07-11T23:24:59Z,https://github.com/microsoft/winget-pkgs/pull/273255
273247,New package: NetSarangComputer.Xftp version 8.0.0082p,Dragon1573,2025-07-10T15:40:02Z,2025-07-11T01:52:53Z,https://github.com/microsoft/winget-pkgs/pull/273247
273242,New package: NetSarangComputer.XShell version 8.0.0082p,Dragon1573,2025-07-10T15:01:32Z,2025-07-12T09:32:02Z,https://github.com/microsoft/winget-pkgs/pull/273242
